workflow,subtask,primary_route,secondary_route,avoid_or_limit,why,verification,source_basis,status
Customer research,source discovery and citation gathering,Perplexity,ChatGPT/Gemini web search,Claude Opus/GPT frontier as first scraper,Perplexity is optimized around cited retrieval and current source gathering,Open cited sources and confirm dates/domains,Perplexity Pro/help/Sonar docs,hypothesis
Customer research,official company fact extraction,Perplexity plus deterministic notes,Gemini long context,frontier model reading dozens of pages unfiltered,Retrieval model gathers sources then cheaper extraction normalizes facts,Verify official site/SEC/LinkedIn/newsroom,Perplexity/OpenAI/Gemini docs,hypothesis
Customer research,meeting insight synthesis,Claude or GPT frontier,Gemini Pro,Perplexity as final strategist,Claude/GPT are stronger final synthesis and question generation when given clean evidence,Check every factual claim has source link,Token-efficiency principle,hypothesis
Video analysis,native first-pass visual/audio understanding,Gemini,GPT multimodal if short clip,Claude text-only summary from transcript,Google documents native video understanding and long video support,Record API/product mode and sampling; extract frames for frame-level claims,Gemini video docs,official
Video analysis,frame-level forensic critique,ffmpeg frame extraction plus Gemini/GPT vision,Gemini configurable FPS where available,assuming any app sees every frame,Exact frame coverage depends on product/API mode; explicit frame extraction is safer,Save sampled frames/contact sheet and model notes,Gemini/Vertex video docs,official
Video recreation,shot list and DP notes,Claude or GPT frontier,Gemini after video pass,media generator prompt only,Frontier reasoning converts observations into craft plan and production steps,Compare to reference and real asset inventory,Observed workflow evidence,hypothesis
Image/design critique,factual visual inventory,GPT vision or Gemini,Claude vision where available,text-only model from alt text,Multimodal model should establish visual facts before design judgment,Ask model to separate observed facts from critique,OpenAI/Gemini/Claude docs,hypothesis
Image/design critique,composition and brand critique,Claude or GPT frontier,Gemini,cheap local model alone,Judgment/taste and structured critique are premium-model work,Human review plus reference comparison,Anthropic/OpenAI docs and User feedback criteria,hypothesis
Image generation,photoreal/editorial exploration,Midjourney or Flux/OpenAI image,Ideogram for text-heavy,chat LLM without image model,"Model choice depends on style fidelity, typography, editability, and reference following",Run 3-prompt bakeoff with same brief,Provider docs,hypothesis
Video generation,cinematic clips,Runway/Kling/Higgsfield/Google Flow/Sora,Replicate-hosted models,using chat model as generator,Specialized video tools outperform general chat for rendered video,Render sample and score motion/faces/product/text,Provider docs and Observed workflow evidence,hypothesis
Coding,repo search and mechanical extraction,rg/tests/deterministic tools plus cheap model,Qwen/DeepSeek/Mistral via router,GPT/Opus burning tokens on raw log reading,Tools and cheap models can preprocess before frontier judgment,Run tests and inspect diffs,Open-weight docs plus local tooling,actionable
